,name,rating,reviews_count,description,city
1038,Snow White's Scary Adventures,4.3,243,Haunted-house ride in a mine cart,Anaheim
1039,Blue Bayou Restaurant,4.1,1150,Atmospheric Cajun eatery at Disneyland,Anaheim
1040,Pixar Pier,4.8,93,Themed waterfront spot with rides,Anaheim
1041,The Little Mermaid ~ Ariel's Undersea Adventure,4.6,165,Amusement park,Anaheim
1042,Plaza Inn,4.4,372,Victorian-era dining inside Disneyland,Anaheim
1043,Avengers Campus,4.3,193,Marvel-themed zone with rides & shows,Anaheim
1044,SwingIt Trapeze,4.9,18,nan,Anaheim
1045,GhostRider,4.8,3206,Wooden roller coaster with 14 hills,Anaheim
1046,Animation Academy,4.7,385,Drawing workshop with a Disney animator,Anaheim
1047,Downtown Anaheim Farmers Market,4.3,90,nan,Anaheim
1048,Goofy's Sky School,4.4,290,Roller coaster,Anaheim
1049,King Arthur Carrousel,4.5,98,"King arthur, walt disney, and music",Anaheim
1050,Mark Twain Riverboat,4.6,82,"Riverboat, walt disney, river, and amusement park",Anaheim
1051,Casey Jr. Circus Train,4.5,63,Mini railway through fairytale scenery,Anaheim
1052,Star Wars Launch Bay,4.4,133,"Star Wars characters, props & sets",Anaheim
1053,Storybook Land Canal Boats,4.3,103,Boat ride amid mini fairytale scenes,Anaheim
1054,Pirate's Lair on Tom Sawyer Island,4.3,60,Secret island from Mark Twain stories,Anaheim
1055,Cozy Cone Motel,4.3,139,Cars,Anaheim
1056,Roger Rabbit's Car Toon Spin,4.2,157,"Amusement ride, rabbit, and amusement park",Anaheim
1057,Redwood Creek Challenge Trail,4.7,93,Kid-oriented adventure trail in a forest,Anaheim
1058,Mater's Junkyard Jamboree,4.6,89,nan,Anaheim
1059,Gadget's Go Coaster,4.3,76,Roller coaster,Anaheim
1060,Irvine Regional Park,4.8,6656,"Park, playground, rides & rentals",Anaheim
1061,Silly Symphony Swings,4.5,94,Wave-swinger ride with symphonic music,Anaheim
1062,Sailing Ship Columbia,4.6,56,Walt disney and riverboat,Anaheim
1063,Luigi's Rollickin' Roadsters,4.3,66,"Amusement park, music, cars, and park",Anaheim
1064,Palm Springs Aerial Tramway,4.8,10023,Scenic canyon ride on rotating tram cars,Palm Springs
1065,Palm Springs Art Museum,4.6,2138,Desert's iconic museum & cultural center,Palm Springs
1066,Palm Springs Air Museum,4.8,2975,WWII combat aircraft & aviation art,Palm Springs
1067,Moorten Botanical Garden,4.6,439,Desert environment founded in 1938,Palm Springs
1068,Joshua Tree National Park,4.8,16953,Joshua trees & unusual rock formations,Palm Springs
1069,The Living Desert Zoo and Gardens,4.7,7946,Native species & animals since 1970,Palm Springs
1070,Tahquitz Canyon,4.6,424,Natural area with a waterfall & rock art,Palm Springs
1071,Indian Canyons,4.5,655,Trails for hiking & horseback riding,Palm Springs
1072,Walk of the Stars Palm Springs,4.4,705,Sidewalk plaques honoring local VIPs,Palm Springs
1073,Villagefest Main Office Palm Springs,4.4,28,nan,Palm Springs
1074,Palm Springs Visitor Center,4.5,929,Landmark with souvenirs & information,Palm Springs
1075,Robolights,4.5,994,"Whimsical, year-round sculpture garden",Palm Springs
1076,Palm Springs Windmill Tours,4.5,429,nan,Palm Springs
1077,Cabazon Dinosaurs - World's Biggest Dinosaurs,4.5,7601,Outdoor display of prehistoric animals,Palm Springs
1078,North Palm Canyon Drive,0.0,0,nan,Palm Springs
1079,South Palm Canyon Drive,0.0,0,Downtown dining & cultural strip,Palm Springs
1080,The Cafe at Shields,4.5,1337,Outdoor cafe for breakfast & lunch,Palm Springs
1081,Coachella Valley Preserve,0.0,0,"Desert, hiking, park, lizards, and nature",Palm Springs
1082,Workshop Kitchen & Bar,4.3,842,nan,Palm Springs
1083,Cabot's Pueblo Museum,4.5,539,Native American museum in a pueblo,Palm Springs
1084,"Elmer's Restaurant (Palm Springs, CA)",4.6,4894,nan,Palm Springs
1085,Sparrows Lodge,4.7,223,nan,Palm Springs
1086,DeMuth Park,4.3,804,Park with tennis courts & playground,Palm Springs
1087,El Jefe Desert Cantina,4.2,330,nan,Palm Springs
1088,Downtown Palm Springs,0.0,0,"Dining, an art museum & a night market",Palm Springs
1089,Mount San Jacinto,4.8,291,Prominent peak with trails & views,Palm Springs
1090,Escape Room Palm Springs,4.9,1414,nan,Palm Springs
1091,Sunnylands Center & Gardens,4.7,546,"Large, historic estate offering tours",Palm Springs
1092,Anza-Borrego Desert State Park,4.7,3147,Large park with campground & wildflowers,Palm Springs
1093,Agua Caliente Cultural Museum,3.9,42,Exhibits & Native American culture,Palm Springs
1094,Lucille Ball Statue,4.1,13,Museum,Palm Springs
1095,The Amado,4.5,21,nan,Palm Springs
1096,The Purple Room Supper Club,4.6,471,nan,Palm Springs
1097,Sonny Bono Statue,4.5,17,History,Palm Springs
1098,Annenberg Theater,4.7,102,nan,Palm Springs
1099,Agua Caliente Casino Palm Springs,4.2,7210,"Busy, always-open gambling destination",Palm Springs
1100,Agua Caliente Resort Casino Spa Rancho Mirage,4.3,12917,nan,Palm Springs
1101,Bootlegger Tiki,4.3,551,nan,Palm Springs
1102,Antique Galleries of Palm Springs,4.7,187,nan,Palm Springs
1103,BIKE Palm Springs Rentals & Tours | Bike Rentals,4.9,162,nan,Palm Springs
1104,El Paseo Shopping District,4.4,352,nan,Palm Springs
1105,Mt San Jacinto State Park,4.8,2522,Mountain hiking with desert views,Palm Springs
1106,Children's Discovery Museum of the Desert,0.0,0,Hands-on exhibits & toddler spaces,Palm Springs
1107,Estrella Spa,4.4,19,nan,Palm Springs
1108,The Frippery,4.4,11,nan,Palm Springs
1109,Ruth Hardy Park-basketball court,5.0,1,nan,Palm Springs
1110,Ruth Hardy Park,4.5,950,"Picnicking, tennis & other court sports",Palm Springs
1111,Palm Springs Art Museum Architecture and Design Center,4.3,365,"Museum, architecture, art, art museum, and modern architecture",Palm Springs
1112,Forever Marilyn,4.8,294,Sculpture,Palm Springs
1113,Cactus to Clouds Trail,4.7,237,Hiking area with a steep elevation,Palm Springs
1114,Desert Adventures - Red Jeep Tours Sales Office & Tickets,4.8,117,nan,Palm Springs
1115,Araby Trail,4.6,85,nan,Palm Springs
1116,Museum of Ancient Wonders,4.8,131,Museum and history,Palm Springs
1117,Palm Springs Historical Society,4.6,47,Non-profit with history exhibits & tours,Palm Springs
1118,Santa Rosa and San Jacinto Mountains National Monument,4.7,2340,Scenic mountain area with trails,Palm Springs
1119,Agua Caliente Tahquitz Visitor Center,4.6,492,Canyon packed with Indian heritage,Palm Springs
1120,Kaufmann House,0.0,0,Famed modernist house designed by Neutra,Palm Springs
1121,Backstreet Art District,4.5,82,Artsy complex with galleries & services,Palm Springs
1122,Mission Creek Preserve,4.7,159,Hiking,Palm Springs
1123,North Lykken Trailhead,4.7,246,nan,Palm Springs
1124,Palm Springs Skate Park,4.7,155,Skateboarding,Palm Springs
1125,Mojave Desert,4.4,704,"Expansive, arid place with Joshua trees",Palm Springs
1126,Frey House II,4.4,14,Museum,Palm Springs
1127,Museum Trail,4.7,54,nan,Palm Springs
1128,Victoria Park,4.4,233,"Playground, picnic area & mountain views",Palm Springs
1129,Oasis Date Gardens,4.5,384,nan,Palm Springs
1130,Sunrise Park,4.2,193,Park,Palm Springs
1131,Desert Art Center,4.6,40,Local nonprofit with a gallery & classes,Palm Springs
1132,Frances Stevens Park,4.3,153,Outdoor retreat with a modern fountain,Palm Springs
1133,Palm Desert Aquatic Center,4.6,538,"3 pools, slides, concessions & classes",Palm Springs
1134,International Banana Museum,4.4,311,Museum,Palm Springs
1135,Knott's Soak City,4.5,5103,Seasonal spot with aquatic attractions,Palm Springs
1136,Agua Caliente Casino Cathedral City,4.2,1163,Gaming hall with live bands & a bar,Palm Springs
1137,Liberace House,4.6,41,nan,Palm Springs
1138,World Famous Crochet Museum,4.7,137,Unique collection of crocheted items,Palm Springs
1139,Cornelia White House,5.0,1,Museum,Palm Springs
1140,South Lykken Trail I,4.8,6,Hiking,Palm Springs
1141,Downtown Park,4.6,19,Park,Palm Springs
1142,Tahquitz Falls,4.7,184,Waterfall,Palm Springs
1143,Edris House,5.0,3,"Modern architecture, architecture, and modernism",Palm Springs
1144,Palm Springs Swim Center,4.1,119,Outdoor facility with a multilane pool,Palm Springs
1145,Artize Gallery,4.9,7,Art,Palm Springs
1146,Oak Tree Mountain,4.5,1288,Old-timey theme park with a petting zoo,Palm Springs
1147,Albert Frey's Cree House,5.0,5,nan,Palm Springs
1148,Angel Cove Monument,4.7,6,History,Palm Springs
1149,Tahquitz Creek,1.0,1,Golf,Palm Springs
1150,Coachella Valley Vista Point,4.7,1193,Panoramic roadside desert overlook,Palm Springs
1151,Azure Palm Hot Springs Resort & Day Spa Oasis,4.6,182,nan,Palm Springs
1152,Chino Canyon,3.5,2,"Canyon, hiking, and park",Palm Springs
1153,Mission Hills Country Club,4.5,412,Upscale private golf & fitness club,Palm Springs
1154,Town Square Park,4.5,305,nan,Palm Springs
1155,Greater Palm Springs,4.7,28,Official tourist office for the area,Palm Springs
1156,Andreas Canyon Trailhead,4.9,557,Desert and nature,Palm Springs
1157,Coachella Valley History Museum,4.6,113,Local history & a museum about dates,Palm Springs
1158,Civic Center Park,4.7,2167,"Sports fields, concerts & public art",Palm Springs
1159,Earl Henderson Trail,3.9,19,Locale for mountain walks & nature hikes,Palm Springs
1160,Ocotillo Park,4.4,429,Park,Palm Springs
1161,Panorama Park,4.4,533,Park,Palm Springs
1162,California State Capitol Museum,4.6,4806,The state's history in exhibits,Sacramento
1163,California State Railroad Museum,4.8,3591,"Antique locomotives, rides & more",Sacramento
1164,Crocker Art Museum,4.8,2689,Historic museum with diverse works,Sacramento
1165,Sacramento Zoo,4.4,6538,Giraffes & over 140 species on 15 acres,Sacramento
1166,Sutter's Fort State Historic Park,4.5,1707,Costumed docents re-enact pioneer life,Sacramento
1167,Old Sacramento Waterfront,4.6,23379,"Guided tours, museums & a visitor center",Sacramento
1168,Fairytale Town,4.5,2303,Long-standing kid-focused park,Sacramento
1169,William Land Regional Park,4.6,5584,Greenspace with a zoo & much more,Sacramento
1170,California Automobile Museum,4.6,283,A host of antique cars on display,Sacramento
1171,McKinley Park,4.6,3750,"Rose garden, pool & many activities",Sacramento
1172,Cathedral of the Blessed Sacrament,4.8,940,Ornate church with tours & a gift shop,Sacramento
1173,Stanford Mansion,4.7,283,Restored Victorian mansion & museum,Sacramento
1174,California Museum,4.4,553,State history exhibits & a hall of fame,Sacramento
1175,California State Capitol Park,4.7,1939,Landscaped park with monuments & gardens,Sacramento
1176,State Indian Museum,4.5,265,Displays celebrating indigenous tribes,Sacramento
1177,Tower Bridge,4.6,1325,Historic span over the Sacramento River,Sacramento
1178,Sacramento History Museum,4.6,667,Regional heritage & Gold Rush exhibits,Sacramento
1179,Old Sacramento,0.0,0,Gold Rush buildings & Railroad Museum,Sacramento
1180,Golden 1 Center,4.5,8672,nan,Sacramento
1181,Discovery Park,4.3,2061,"Park for biking, play, fishing & picnics",Sacramento
1182,Arden Fair,4.2,16996,nan,Sacramento
1183,Funderland Amusement Park,4.3,1059,Amusement park for young children,Sacramento
1184,"The Sofia, Home of B Street Theatre",4.8,882,nan,Sacramento
1185,Embassy Suites by Hilton Sacramento Riverfront Promenade,4.3,2025,nan,Sacramento
1186,Crest Theatre,4.6,1580,nan,Sacramento
1187,Jedediah Smith Memorial Trail,3.8,12,Sizable multi-use path with river views,Sacramento
1188,American River Bike Trail,0.0,0,nan,Sacramento
1189,Midtown,0.0,0,"Trendy restaurants, nightlife & shops",Sacramento
1190,CSU Sacramento Arboretum,4.5,2,nan,Sacramento
1191,Wyndham Garden Sacramento Airport Natomas,4.1,566,nan,Sacramento
1192,The Firehouse,4.6,1272,nan,Sacramento
1193,Sacramento Historic City Cemetery,4.5,63,Victorian cemetery with 3 gardens,Sacramento
1194,Hyatt Centric Downtown Sacramento,4.2,100,nan,Sacramento
1195,Punch Bowl Social Sacramento,4.0,1790,nan,Sacramento
1196,The Waterboy,4.7,630,nan,Sacramento
1197,Sutter's Fort Museum Store,4.8,12,nan,Sacramento
1198,Theater Of Lights,4.9,7,nan,Sacramento
1199,"Global Winter Wonderland Presents ""Imaginarium"" at Cal Expo",4.0,515,nan,Sacramento
1200,Sacramento Walk of Stars,4.3,3,nan,Sacramento
1201,American River Parkway,4.3,3,River and park,Sacramento
1202,Vagabond Inn Executive - Sacramento (Old Town),3.9,726,nan,Sacramento
1203,"California State University, Sacramento",4.4,452,nan,Sacramento
1204,Roseville Golfland Sunsplash,4.4,4549,Water park and golf,Sacramento
1205,Folsom Lake State Recreation Area,4.6,4844,"Camping, fishing & an old power plant",Sacramento
1206,Granite Regional Park,4.3,663,"Premier skate park, soccer & dog park",Sacramento
1207,Haggin Oaks Golf Complex,4.5,909,Longtime complex with 2 18-hole courses,Sacramento
1208,Old Sacramento Historic District,4.6,3670,nan,Sacramento
1209,State Capitol Park World Peace Rose Garden,4.8,854,Victorian style rose garden & pavilion,Sacramento
1210,Sacramento International Airport,4.4,7215,nan,Sacramento
1211,SMUD Museum of Science and Curiosity,4.4,915,"Hands-on, kid-centric exhibits & more",Sacramento
1212,Black Chasm Cavern National Natural Landmark,4.7,783,Cave with rock & crystal formations,Sacramento
1213,UC Davis Arboretum Teaching Nursery,4.8,97,Spacious garden park with free admission,Sacramento
1214,The Eagle Theatre,4.4,18,nan,Sacramento
1215,SeaQuest Folsom,4.7,4770,Hands-on animal park with rays & sloths,Sacramento
1216,North Natomas Regional Park,4.6,1105,"Multi-use park for sports, play, events",Sacramento
1217,Amtrak Station,0.0,0,nan,Sacramento
1218,River Walk Park,4.5,677,Outdoor spot with water & skyline views,Sacramento
1219,Old Sacramento State Historic Park,4.7,316,Park,Sacramento
1220,Sutter's Landing Regional Park,4.3,946,3-acre park with a multi-use trail,Sacramento
1221,Sonoma Zipline Adventures,4.8,587,"Zip line, forest, adventure, wine, and wine tasting",Sacramento
1222,Experience Italy,4.2,6,nan,Sacramento
1223,John C. Fr�mont Park,4.4,860,Snug park with a seasonal produce market,Sacramento
1224,Governor's Mansion State Historic Park,4.4,55,Victorian-era home with gardens,Sacramento
1225,C�sar Ch�vez Plaza,4.1,1775,Urban green spot with a cafe & market,Sacramento
1226,Napa Valley Aloft Hot Air Balloon Rides,4.8,993,nan,Sacramento
1227,Urban Air Trampoline and Adventure Park,4.2,795,Amusement park and zip line,Sacramento
1228,B. F. Hastings Bank Building,4.0,3,Museum,Sacramento
1229,Sand Cove Park,4.3,592,American River access & a nature area,Sacramento
1230,Truitt Bark Park,4.4,472,nan,Sacramento
1231,California Cavern State Historic Landmark,4.7,196,"Stalactites, stalagmites & flowstones",Sacramento
1232,Aerospace Museum of California,4.7,1091,"Planes, spacecraft & hands-on simulators",Sacramento
1233,WPA Rock Garden,4.8,128,Garden,Sacramento
1234,Sojourner Truth Multicultural Art Museum,4.6,182,"Multicultural murals, education & art",Sacramento
1235,Paradise Beach,4.3,239,Riverfront park for swimming & picnics,Sacramento
1236,Visit Sacramento,4.3,11,Convention center,Sacramento
1237,Lincoln,0.0,0,"Casino, golf, and concert",Sacramento
1238,Howe Community Park,4.3,2386,"Sports fields, picnic area & playground",Sacramento
1239,Lucid Winery & Tasting Room,4.7,53,Wine,Sacramento
1240,Underground Tours,4.5,6,nan,Sacramento
1241,Jacinto Creek Park,4.2,265,nan,Sacramento
1242,Bannon Creek Park & Parkway,4.1,252,nan,Sacramento
1243,Capitol Casino,4.0,1022,Poker room with an on-site lounge & cafe,Sacramento
1244,La Terraza,3.6,863,nan,Sacramento
1245,Museum of Medical History,4.6,53,Medical artifacts & antique instruments,Sacramento
1246,Downtown Sacramento Partnership,4.3,44,nan,Sacramento
1247,The Underground Tasting Room,4.6,22,Winery and wine,Sacramento
1248,NAPA SHUTTLE & LIMOUSINES,4.9,104,nan,Sacramento
1249,Waterfront Park,4.5,18,Park,Sacramento
1250,California state railroad Museum Foundation,5.0,4,nan,Sacramento
1251,UC Davis Health Pavilion,4.8,9,Theatre and music,Sacramento
1252,Central Pacific Railroad Passenger Station,4.9,23,Museum,Sacramento
1253,Scavenger Hunt Walking Tours - Old Sacramento,4.7,3,nan,Sacramento
1254,Folsom Historic District,4.7,397,nan,Sacramento
1255,Swanston Park,4.4,476,Seasonal spot for outdoor water play,Sacramento
1256,Carmichael Park,4.4,1774,"Dog park, sports fields & picnic spots",Sacramento
1257,Tree Top Sac,4.9,151,nan,Sacramento
1258,Napa Valley Paddle,5.0,44,nan,Sacramento
1259,Gibbons Community Park,4.6,506,nan,Sacramento
1260,San Antonio River Walk,4.7,32337,"Shops, eateries & hotels along the river",San Antonia
1261,The Alamo,4.6,50813,Legendary fort & Texas-history museum,San Antonia
1262,San Antonio Missions National Historical Park,4.8,7928,Ranger-led tours on 18th-century grounds,San Antonia
1263,Japanese Tea Garden,4.8,11327,"Park with a waterfall, pagoda & a cafe",San Antonia
1264,San Antonio Zoo,4.5,19024,"54 acres, 750 species, exhibits & train",San Antonia
1265,San Antonio Museum of Art (SAMA),4.7,3430,Works from Egyptian to Latin-American,San Antonia
1266,San Antonio Botanical Garden,4.7,5392,"Serene spot with trails, a pond & a cafe",San Antonia
1267,San Fernando Cathedral,4.8,4620,Landmark 1730s Catholic church,San Antonia
1268,Six Flags Fiesta Texas,4.3,29078,Amusement park with rides & a water park,San Antonia
1269,Brackenridge Park,4.7,13584,"Trails, sports, picnics & train rides",San Antonia
1270,Seaworld San Antonio,4.4,27368,Aquatic theme park with shows & rides,San Antonia
1271,Natural Bridge Caverns,4.7,12127,Underground tours & canopy adventures,San Antonia
1272,Historic Market Square,4.6,15022,Landmark Mexican shopping district,San Antonia
1273,Morgan's Wonderland,4.8,3028,Amusement park for all ages & abilities,San Antonia
1274,Briscoe Western Art Museum,4.7,1612,Gallery for American Western artwork,San Antonia
1275,Mission San Jose Church Parish Offices,4.8,1749,Limestone sanctuary with a rose window,San Antonia
1276,The DoSeum,4.5,1193,Interactive exhibits & creative programs,San Antonia
1277,La Villita Historic Village,4.5,5737,Neighborhood for local art since 1939,San Antonia
1278,Tower of the Americas,4.5,8240,750-ft. tower with a revolving eatery,San Antonia
1279,The Buckhorn Saloon & Museum,4.4,2556,nan,San Antonia
1280,Majestic Theatre,4.7,4086,nan,San Antonia
1281,Witte Museum,4.6,5382,nan,San Antonia
1282,The Guenther House,4.5,3754,nan,San Antonia
1283,Hemisfair,4.6,13051,Park with fountains & historic buildings,San Antonia
1284,Spanish Governor's Palace,4.5,370,Mid-1700s Spanish military residence,San Antonia
1285,Natural Bridge Wildlife Ranch,4.4,7191,Wildlife encounters by car & on foot,San Antonia
1286,Mission Concepci�n,4.7,2327,18th-century church with frescos & mass,San Antonia
1287,San Antonio Aquarium,4.2,9511,Hands-on aquarium with a bounce house,San Antonia
1288,UTSA Institute of Texan Cultures,4.6,256,Museum with exhibits & special events,San Antonia
1289,King William Historic District,4.6,45,History,San Antonia
1290,San Antonio Fire Museum,4.9,376,Museum,San Antonia
1291,McNay Art Museum,4.7,2698,nan,San Antonia
1292,The Shops at La Cantera,4.6,11052,nan,San Antonia
1293,Pearl Brewery,4.7,9971,nan,San Antonia
1294,San Pedro Springs Park,4.4,2960,Outdoor space with a spring-fed pool,San Antonia
1295,Yanaguana Garden at Hemisfair,4.7,2102,Unique play equipment & public art,San Antonia
1296,Monster Mini Golf,4.3,1109,nan,San Antonia
1297,Ranger Creek Brewing & Distilling,4.7,394,Beer & whiskey brewstillery with tours,San Antonia
1298,World�s Largest Cowboy Boots,4.6,312,nan,San Antonia
1299,Artpace San Antonio,4.4,175,Contemporary gallery & residency program,San Antonia
1300,McAllister Park,4.6,3935,"Trails, athletic fields & a dog park",San Antonia
1301,GO RIO San Antonio River Cruises,4.6,2692,River tour boat agency,San Antonia
1302,Kiddie Park,4.4,1316,Amusement park & party venue for kids,San Antonia
1303,Sisters Grimm Ghost Tours,4.8,2998,Nighttime history tours & souvenirs,San Antonia
1304,Ripley's Believe It or Not!,4.4,3158,Wax museum and museum,San Antonia
1305,Fort Sam Houston Quadrangle and Museum,4.7,389,"Military park, clock tower & museum",San Antonia
1306,Menger Hotel,4.4,3631,nan,San Antonia
1307,Confluence Park,4.7,1020,Outdoor retreat with trails & sculpture,San Antonia
1308,Aquatica San Antonio,4.6,6774,Theme park with water slides & beaches,San Antonia
1309,Tower of the Americas,0.0,0,nan,San Antonia
1310,Hopscotch San Antonio,4.7,1678,nan,San Antonia
1311,Texas Transportation Museum,4.5,370,"Trains, antique cars & a historic depot",San Antonia
1312,Contemporary at Blue Star,4.5,173,Industrial space with multiple galleries,San Antonia
1313,LEGOLAND Discovery Center San Antonio,4.2,1089,nan,San Antonia
1314,San Pedro Creek Culture Park,4.6,325,Park,San Antonia
1315,Woodlawn Lake Park,4.6,6545,"Relaxed spot for picnics, fishing & more",San Antonia
1316,Brackenridge Park Golf Course,4.4,623,18-hole golf course & hall of fame,San Antonia
1317,Market Square,4.7,776,nan,San Antonia
1318,Government Canyon State Natural Area,4.7,1892,Park with rugged trails & canyon hikes,San Antonia
1319,Main Plaza,0.0,0,"History, music, and architecture",San Antonia
1320,Pearsall Park,4.6,3979,505 acres with exercise & play equipment,San Antonia
1321,Mitchell Lake Audubon Center,4.6,177,"Birdwatching, wetland, and nature",San Antonia
1322,Comanche Lookout Park,4.6,2293,Parkland with panoramic views & trails,San Antonia
1323,Mission San Juan,4.7,1107,Walled Spanish mission from the 1700s,San Antonia
1324,Friedrich Wilderness Park,4.8,2032,Natural area with a wide range of trails,San Antonia
1325,San Antonio Natural Bridge Caverns,4.8,430,Nature,San Antonia
1326,Mission San Francisco De La Espada Catholic Church,4.8,917,Oldest Spanish Colonial mission in Texas,San Antonia
1327,El Mercado Snack Bar,4.4,118,nan,San Antonia
1328,Eisenhower Park,4.8,1595,Picnic areas & 5 miles of hiking trails,San Antonia
1329,O. P. Schnabel Park,4.7,2715,200+ acres with nature trails & more,San Antonia
1330,San Antonio Art League and Museum,4.5,60,"Museum, art, art museum, and art exhibition",San Antonia
1331,Holocaust Memorial Museum of San Antonio,4.7,128,Museum,San Antonia
1332,Guadalupe Dance Company,4.6,97,nan,San Antonia
1333,Alamo City Ghost Tours,4.4,121,nan,San Antonia
1334,Blue Star Arts Complex,4.6,1663,Art and art museum,San Antonia
1335,Denman Estate Park,4.6,1543,Serene setting with a Korean monument,San Antonia
1336,Travis Park,4.3,4479,Downtown community park & picnic spot,San Antonia
1337,Lollypop Carriage Co Inc,4.2,54,nan,San Antonia
1338,Phil Hardberger Park,4.8,777,Nature hub with exhibits & picnic areas,San Antonia
1339,Robber Baron Cave,4.5,134,Cave and nature,San Antonia
1340,Medina River Natural Area,4.6,916,Riverside trails with abundant wildlife,San Antonia
1341,Hot Wells of Bexar County,4.5,74,Park,San Antonia
1342,Bracken Cave Preserve (Bat Conservation International Inc),4.5,139,Nature preserve with a huge bat colony,San Antonia
1343,Headwaters Sanctuary,4.5,49,Park,San Antonia
1344,Altitude Trampoline Park,4.5,1003,nan,San Antonia
1345,Iron Rattler,4.8,74,Mining-themed coaster with a steep drop,San Antonia
1346,San Antonio Official Visitor Information Center,4.0,60,nan,San Antonia
1347,Ruby City,4.6,140,Art,San Antonia
1348,The Amazing Mirror Maze,4.4,798,"Mazes, mirrors & a laser challenge",San Antonia
1349,The Quarry Golf Course,4.5,530,Golf course located in an old quarry,San Antonia
1350,River City Run,4.9,15,Running,San Antonia
1351,Arneson River Theatre,4.6,218,Historic riverfront performance space,San Antonia
1352,Tower Life Building,4.5,136,Gothic revival architecture and architecture,San Antonia
1353,Superman: Krypton Coaster,4.8,40,Roller coaster,San Antonia
1354,Cascade Caverns,4.7,728,Historic site with cave tours & camping,San Antonia
1355,Goliath,4.6,75,Roller coaster,San Antonia
1356,Casa Navarro State Historic Site,4.6,92,Adobe homestead of a Tejano statesman,San Antonia
1357,Villa Finale: Museum & Gardens,4.4,107,Tours & exhibits in a historic setting,San Antonia
1358,Wave Breaker: The Rescue Coaster,4.5,27,Roller coaster,San Antonia
1359,Houston Zoo,4.6,32924,Lions & tigers & bears... and more,Houston
1360,Houston Museum of Natural Science,4.8,21716,Renowned dinosaur hall & butterfly house,Houston
1361,Space Center Houston,4.6,36388,Close-up look at the U.S. Space Program,Houston
1362,"The Museum of Fine Arts, Houston",4.7,8488,Complex with a renowned art collection,Houston
1363,The Galleria,4.5,29676,"High-end stores, ice-skating & dining",Houston
1364,Children's Museum Houston,4.6,5780,Lively kid haven with hands-on exhibits,Houston
1365,The Menil Collection,4.7,3021,Vast assembly of private art & artifacts,Houston
1366,Minute Maid Park,4.7,22967,Home ballpark of the Houston Astros,Houston
1367,Discovery Green,4.7,17957,Modern park with many activities,Houston
1368,Downtown Aquarium,4.1,18867,Aquatic destination with touch pools,Houston
1369,Hermann Park,4.7,23379,"Green space with gardens, golfing & more",Houston
1370,Buffalo Bayou Park,4.7,4597,"Houston skyline views, a fountain & more",Houston
1371,Art Car Museum,4.5,929,Contemporary art & decorated cars,Houston
1372,Cockrell Butterfly Center,4.8,1081,Rainforest habitat & insect exhibits,Houston
1373,National Museum of Funeral History,4.8,1116,Major collection of funeral memorabilia,Houston
1374,Miller Outdoor Theatre,4.8,4836,Historic amphitheater with free shows,Houston
1375,Holocaust Museum Houston,4.6,1660,Exhibits documenting the Holocaust,Houston
1376,The Health Museum,4.3,1856,Exhibits on health & medical science,Houston
1377,McGovern Centennial Gardens,4.8,3917,"Gardens, statues & a panoramic mount",Houston
1378,Waterwall,4.7,995,nan,Houston
1379,Bayou Bend Collection and Gardens,4.5,720,American art museum & tranquil gardens,Houston
1380,Houston Arboretum & Nature Center,4.7,3001,Trails & activities in natural setting,Houston
1381,Buffalo Bayou Park Cistern,4.6,983,Former reservoir with art installations,Houston
1382,Kemah Boardwalk,4.5,31434,Old-fashioned waterfront amusement park,Houston
1383,Toyota Center,4.6,9749,nan,Houston
1384,NRG Stadium,4.6,22564,nan,Houston
1385,NASA Johnson Space Center,4.4,2234,NASA mission control & training facility,Houston
1386,Memorial Park,4.7,7960,1500 acres of wooded recreation areas,Houston
1387,Houston Museum District,0.0,0,Hermann Park & major museums,Houston
1388,Gerald D. Hines Waterwall Park,4.7,6693,Green space with cascading water element,Houston
1389,Beer Can House,4.4,441,Folk art monument with guided tours,Houston
1390,Contemporary Arts Museum Houston,4.4,974,Museum for modern artwork exhibitions,Houston
1391,Rothko Chapel,4.5,612,Modern art landmark since 1971,Houston
1392,Market Square Park,4.5,2436,Historic hangout with eats & a dog run,Houston
1393,Houston Graffiti Building,4.7,2333,Structures with elaborate street art,Houston
1394,Lone Star Flight Museum,4.8,1762,Aviation hall of fame & war plane rides,Houston
1395,The Orange Show,4.5,214,"Seasonal, outfoor folk art installation",Houston
1396,Smither Park,4.7,1250,Small park with whimsical mosaic art,Houston
1397,1940 Air Terminal Museum,4.7,480,Art deco museum with aviation exhibits,Houston
1398,Sam Houston Park,4.6,1515,Expansive spot with historic structures,Houston
1399,San Jacinto Museum of History,4.6,2274,Historic Texan artifacts & photos,Houston
1400,Saint Arnold Brewing Company,4.6,2645,nan,Houston
1401,"James Turrell's ""Twilight Epiphany"" Skyspace",4.5,406,nan,Houston
1402,Waugh Drive Bat Colony,4.6,835,Sunset spot to view thousands of bats,Houston
1403,The Music Box Theater,4.9,203,nan,Houston
1404,Asia Society Texas Center,4.8,158,"Art museum, architecture, sculpture, art, and museum",Houston
1405,Battleship Texas,4.7,2388,Veteran vessel open for exploration,Houston
1406,8th Wonder Brewery,4.6,1363,nan,Houston
1407,Hurricane Harbor Splashtown,4.2,4545,"Waterpark with slides, pools & more",Houston
1408,Houston is Inspired Mural,4.6,201,Cool wall mural & popular photo backdrop,Houston
1409,Seismique,4.5,3205,High-tech experiential artworks,Houston
