,Name,Street Address,Type,Reviews,No of Reviews,Comments,Contact Number,Trip_advisor Url,Menu,City,State
805,El Tiempo Cantina- Washington,5602 Washington Ave," Mexican, Southwestern, Latin",4.5,438,Tried this restaurant for the first time on a recent visit to see our daughter in Houston.  Food was good and PLENTIFUL! Also enjoyed trying the complimentary basket of a variety of “sweets” brought to our table. Servers were pleasant and attentive. Would go back.,+1 713-681-3645,https://www.tripadvisor.com//Restaurant_Review-g56003-d485057-Reviews-El_Tiempo_Cantina_Washington-Houston_Texas.html,Check The Website for a Menu,Houston, TX
806,El Toreador,7845 Leary Way NE," Mexican, Vegetarian Friendly",4.0,95,"Saturday night with group of five. Margaritas were very good, the food average at best! Service was good given how busy they were and pricing was fair!",+1 425-883-7570,https://www.tripadvisor.com//Restaurant_Review-g58702-d445269-Reviews-El_Toreador-Redmond_Washington.html,Check The Website for a Menu,Redmond, WA
807,El Torito Grill,1910 Main St," Mexican, Latin, Southwestern",4.0,207,No comments,+1 949-975-1220,https://www.tripadvisor.com//Restaurant_Review-g32530-d847057-Reviews-El_Torito_Grill-Irvine_California.html,Check The Website for a Menu,Irvine, CA
808,El Toro Mexican Restaurant,12115 Canyon Rd E," Mexican, Vegetarian Friendly",4.0,68,"They have most of the traditional menu items plus some of their own item.  The sauce on their Chicken al Carbon is excellent.  Restaurant is large with a huge bar seating area.  Beer tap had only 6 different beers, drinks were mixed very well.",+1 253-256-4639,https://www.tripadvisor.com//Restaurant_Review-g58693-d5014761-Reviews-El_Toro_Mexican_Restaurant-Puyallup_Washington.html,Check The Website for a Menu,Puyallup, WA
809,Elbow Room,731 W San Jose Ave," American, Bar, Grill",4.0,202,No comments,+1 559-227-1234,https://www.tripadvisor.com//Restaurant_Review-g32414-d775343-Reviews-Elbow_Room-Fresno_California.html,Check The Website for a Menu,Fresno, CA
810,Elements,66 Witherspoon St," American, Vegetarian Friendly",4.0,243,I heard about Elements while dining at another restaurant so I decided to give it a go . I called ahead (3weeks) and requested the chefs 5 course tasting menu for all 4 but I explained 1 person doesn’t eat red meat . 1 person...More,+1 609-924-0078,https://www.tripadvisor.com//Restaurant_Review-g46756-d1315168-Reviews-Elements-Princeton_New_Jersey.html,Check The Website for a Menu,Princeton, NJ
811,Elements Restaurant,907 Main Street," American, Vegetarian Friendly, Gluten Free Options",4.5,123,"My sister and I came here on Christmas Eve for dinner and it could not have been more pleasant!!  We both had melt in your mouth salmon, which was expertly prepared and we both loved!!  Also had a delightful cheesecake with wonderful coffee for dessert,...More",+1 360-258-0989,https://www.tripadvisor.com//Restaurant_Review-g60820-d5532340-Reviews-Elements_Restaurant-Vancouver_Washington.html,http://www.elementsvancouver.com,Vancouver, WA
812,Eli's Pizza Pasta,766 Trumbull St," Pizza, Italian",4.0,29,"Ordered to hotel for early morning flight out of Newark.  It came when they said, if not a little earlier.  I just got a 12” cheese pizza.  It was excellent.  I would order it again.",+1 908-436-0436,https://www.tripadvisor.com//Restaurant_Review-g46414-d3201451-Reviews-Eli_s_Pizza_Pasta-Elizabeth_New_Jersey.html,https://slicelife.com/restaurants/nj/elizabeth/07201/eli-s-pizza-pasta/menu?clientId=37958826.1562802877&segment_id=677e8b3e-f107-4749-9bd0-56100e462571&utm_campaign=partner_websites,Elizabeth, NJ
813,Elk Public House,1931 W Pacific Ave," American, Bar, International",4.0,282,"I enjoyed a great lunch of spicy gumbo and Caesar salad. Attentive service, pleasant surroundings. I look forward to visiting again when I visit.",+1 509-363-1973,https://www.tripadvisor.com//Restaurant_Review-g58759-d413298-Reviews-Elk_Public_House-Spokane_Washington.html,Check The Website for a Menu,Spokane, WA
814,Ella Dining Room & Bar,1131 K St," American, Vegetarian Friendly, Vegan Options",4.5,464,No comments,+1 916-443-3772,https://www.tripadvisor.com//Restaurant_Review-g32999-d815734-Reviews-Ella_Dining_Room_Bar-Sacramento_California.html,Check The Website for a Menu,Sacramento, CA
815,Elmer's Restaurant - Mill Plain,11310 SE Mill Plain Blvd," Diner, American, Vegetarian Friendly",4.5,109,"Stopped here because it was down the street from my motel.  Had breakfast here, but not impressed witht the meal.  Service was ho hum, will not be going there again.",+1 360-256-0808,https://www.tripadvisor.com//Restaurant_Review-g60820-d3436199-Reviews-Elmer_s_Restaurant_Mill_Plain-Vancouver_Washington.html,https://eatatelmers.com/menu/,Vancouver, WA
816,Elmer's Restaurant - Palm Springs,1030 E Palm Canyon Dr," American, Diner, Vegetarian Friendly",4.5,2290,No comments,+1 760-327-8419,https://www.tripadvisor.com//Restaurant_Review-g32847-d473460-Reviews-Elmer_s_Restaurant_Palm_Springs-Palm_Springs_Greater_Palm_Springs_California.html,https://eatatelmers.com/menu/,Palm Springs, CA
817,Elmer's Restaurant - Tacoma,7427 S Hosmer St," Diner, American, Vegetarian Friendly",4.0,169,"For breakfast, you can’t top Elmer’s. The pancakes come in a four stack with powdered sugar and two portions of syrup. The bacon is fresh and crisp. The hash browns are warm and crisp. The service is fast and accurate. This is a great place...More",+1 253-473-0855,https://www.tripadvisor.com//Restaurant_Review-g58775-d1494676-Reviews-Elmer_s_Restaurant_Tacoma-Tacoma_Washington.html,https://eatatelmers.com/menu/,Tacoma, WA
818,Emilia's Old House,5182 Padre Island Hwy," Mexican, Latin, Spanish",4.5,23,"A consistent place to eat.

Always has specials and good too.

The menu is huge so take your time.

The flour tortillas are huge and very good.
Just get one with butter and coffee, check please.

The corn tortillas are home made thick tortillas, love...More",+1 956-838-2221,https://www.tripadvisor.com//Restaurant_Review-g60928-d6665485-Reviews-Emilia_s_Old_House-Brownsville_Texas.html,Check The Website for a Menu,Brownsville, TX
819,Emilia's Restaurant,2331 Arthur Ave," Italian, Vegetarian Friendly, Vegan Options",4.5,262,"We had a very enjoyable lunch. We went on Valentine's Day. They offered a very nice menu- specials, appetizers, salads, pasta dishes, chicken, fish, veal dishes, drinks and desserts. We orders two entrees- vegetable lasagna and a chicken dish with three kinds of mushrooms- pasta...More",+1 718-367-5915,https://www.tripadvisor.com//Restaurant_Review-g47369-d447719-Reviews-Emilia_s_Restaurant-Bronx_New_York.html,Check The Website for a Menu,Bronx, NY
820,Emilia's Restaurant,605 W Elizabeth St," Mexican, Vegetarian Friendly",4.0,72,"The food was excellent. The prices are very reasonable. A meal includes a soup, main course and dessert. Menus are in Spanish so bring a translator.",+1 956-504-9899,https://www.tripadvisor.com//Restaurant_Review-g60928-d2250910-Reviews-Emilia_s_Restaurant-Brownsville_Texas.html,Check The Website for a Menu,Brownsville, TX
821,Emiliano's Pizza,111 Main St," Pizza, Italian, Vegetarian Friendly",4.5,36,"Classic Pizzeria with great pizza, appetizers and meals.  The stuffed pizza is amazing!  Great atmosphere with a comfortable, friendly, family environment.",+1 845-473-1414,https://www.tripadvisor.com//Restaurant_Review-g48443-d4623177-Reviews-Emiliano_s_Pizza-Poughkeepsie_New_York.html,http://www.emilianospizza.com/our-menu,Poughkeepsie, NY
822,Emma's Ale House,68 Gedney Way," American, Bar, Pub",4.0,120,"Just delightful! Sarah, my server, was simply the best server that I recall having. Attentive, creative and beautiful. She made menu suggestions which I took her up on, and was not disappointed. Make sure you check out the bread pudding before you go!",+1 914-683-3662,https://www.tripadvisor.com//Restaurant_Review-g48883-d1370174-Reviews-Emma_s_Ale_House-White_Plains_New_York.html,Check The Website for a Menu,White Plains, NY
823,Emory's on Silver Lake,11830 19th Ave SE," American, Bar, Seafood",4.5,336,"A group dinner. Staff very personable. The view was tranquil. The food was delicious. Maybe a little on the spendy side, though well worth it. Will be dining there again.",+1 425-337-7772,https://www.tripadvisor.com//Restaurant_Review-g58466-d636873-Reviews-Emory_s_on_Silver_Lake-Everett_Washington.html,Check The Website for a Menu,Everett, WA
824,Empa Mundo,3977 N Belt Line Rd," Latin, Argentinean, South American",4.5,125,"In a small storefront location on a very busy Belt Line Road.  May take one or two passes to pull in to the right strip mall.

But make sure you do.  No big signs, no flashing lights and in a small, unassuming space.  But, what...More",+1 972-746-4516,https://www.tripadvisor.com//Restaurant_Review-g56032-d3295149-Reviews-Empa_Mundo-Irving_Texas.html,Check The Website for a Menu,Irving, TX
825,Enchilada's Ole,901 N Sylvania Ave," Southwestern, Vegetarian Friendly",4.5,365,Love the chicken and the brisket enchiladas. Will be there when the new location off Forest Park opens!,+1 817-984-1360,https://www.tripadvisor.com//Restaurant_Review-g55857-d4274456-Reviews-Enchilada_s_Ole-Fort_Worth_Texas.html,http://enchiladasole.com/menu,Fort Worth, TX
826,English Setter Brewing Company,15310 E Marietta Ave," Bar, Pub",4.5,19,"After driving by English Setter for months, my wife and I decided to stop in & see what they had to offer. The server offered several tastings & we decided on the Goldendoodle, which was nice. They also have games, an outdoor patio & a...More",+1 509-413-3663,https://www.tripadvisor.com//Restaurant_Review-g1784998-d10454772-Reviews-English_Setter_Brewing_Company-Spokane_Valley_Washington.html,Check The Website for a Menu,Spokane Valley, WA
827,Enoteca Adriano,4864 Cass St," Italian, Vegetarian Friendly, Vegan Options",4.5,303,No comments,+1 858-490-0085,https://www.tripadvisor.com//Restaurant_Review-g60750-d1735810-Reviews-Enoteca_Adriano-San_Diego_California.html,Check The Website for a Menu,San Diego, CA
828,Enoteca Maria,27 Hyatt St," Italian, Vegetarian Friendly, Vegan Options",4.5,218,"Went there for the SECOND time and walked out saying ...."" Why did we come here again?!""
I don't think I will be going back unfortunately.... I understand it was Valentines Day and I shouldn't expect a lot.... but coming from a #7 rated best...More",+1 718-447-2777,https://www.tripadvisor.com//Restaurant_Review-g48682-d1118992-Reviews-Enoteca_Maria-Staten_Island_New_York.html,Check The Website for a Menu,Staten Island, NY
829,Enzo's Caffe Italia,2414 Route 37 E," Italian, Vegetarian Friendly, Vegan Options",4.5,94,There is so much to say about this Great restaurant. The service was excellent and fast. The orders came out as requested. The food was hot and so tasty. BYOB makes it that more inviting,+1 732-929-0808,https://www.tripadvisor.com//Restaurant_Review-g46870-d8362955-Reviews-Enzo_s_Caffe_Italia-Toms_River_New_Jersey.html,http://www.caffeitaliatomsriver.com#menu,Toms River, NJ
830,Enzo's La Piccola Cucina,1906 Princeton Ave," Seafood, Italian, Grill",4.5,130,"Enzo's was recommended to me, and I wanted to try it because I'm always on the lookout for good meals in this area.  Went with three family members to dinner there last night, and found some pluses as well as some minuses.  We all tasted...More",+1 609-396-9868,https://www.tripadvisor.com//Restaurant_Review-g46560-d2323202-Reviews-Enzo_s_La_Piccola_Cucina-Lawrenceville_New_Jersey.html,Check The Website for a Menu,Lawrenceville, NJ
831,Enzo's Of Arthur Avenue,2339 Arthur Ave," Italian, Vegetarian Friendly, Vegan Options",4.5,370,Excellent food and service meatballs appetizer is my favorite the steak was excellent large wine selection chicken parmigiana with spaghetti in garlic and oil is recommended,+1 718-733-4455,https://www.tripadvisor.com//Restaurant_Review-g47369-d805399-Reviews-Enzo_s_Of_Arthur_Avenue-Bronx_New_York.html,Check The Website for a Menu,Bronx, NY
832,Ephesus Mediterranean Grill,510 S Mason Rd," Mediterranean, Turkish, Middle Eastern",4.5,197,Food is always fresh and good but the staff are beyond welcoming and attentive. I particularly love the eggplant salad and the red lentil soup.,+1 281-391-4777,https://www.tripadvisor.com//Restaurant_Review-g56062-d2365521-Reviews-Ephesus_Mediterranean_Grill-Katy_Texas.html,Check The Website for a Menu,Katy, TX
833,Eques,900 Bellevue Way NE," American, Vegetarian Friendly, Vegan Options",4.5,170,Not a great selection of food I thought though the waitress we had was very good.  No omelette station which surprised me.,+1 425-698-4100,https://www.tripadvisor.com//Restaurant_Review-g58349-d433312-Reviews-Eques-Bellevue_Washington.html,https://www.hyatt.com/content/dam/hotel/propertysites/assets/regency/belle/documents/en_US/dining/eques/eques-menu.pdf,Bellevue, WA
834,Erini Restaurant,1140 River Rd," American, Mediterranean, Vegan Options",4.5,1215,"Just enjoyed lunch with friends. Food was delicious, nice selection and atmosphere was comfortable & relaxing. Our server, George was the best - so pleasant & attentive. We’ll surely be back.",+1 609-882-0303,https://www.tripadvisor.com//Restaurant_Review-g46428-d1315844-Reviews-Erini_Restaurant-Ewing_New_Jersey.html,Check The Website for a Menu,Ewing, NJ
835,Esquina Latina,25 Liberty St," Latin, Cuban, Caribbean",4.0,100,Visted on a sat night...busy so make sure you reserve a table...moderately priced....excellent portions...started with 3 beef empanadas....tasty and not greasy at all....also had the cuban chorizo..could have been spicier..but it was excellent...for entrees stuffed porkchop with chorizo and manchego cheese....smothered in pears and onions...also...More,+1 732-543-1630,https://www.tripadvisor.com//Restaurant_Review-g46664-d8607884-Reviews-Esquina_Latina-New_Brunswick_New_Jersey.html,http://www.esquinalatinarestaurant.com/Happy-Hours-Menu.html,New Brunswick, NJ
836,Essie's Restaurant,14 Mount Carmel Pl," American, International, Vegetarian Friendly",4.5,64,A small restaurant in Poughkeepsie. I was there for brunch with my family where I ordered various types of food. I can’t really talk about the dinner options but the brunch was so so. Nothing really special with fairly inexperienced wait staff. Average food quality...More,+1 845-452-7181,https://www.tripadvisor.com//Restaurant_Review-g48443-d10426387-Reviews-Essie_s_Restaurant-Poughkeepsie_New_York.html,https://www.essiesrestaurantpk.com/menu/,Poughkeepsie, NY
837,etc. Steakhouse,1409 Palisade Ave," Steakhouse, American, Kosher",4.5,65,This is a fantastic restaurant!! We did the tasting menu and it was amazing! Better than any restaurant I have been in in NYC.,+1 201-357-5677,https://www.tripadvisor.com//Restaurant_Review-g46862-d1992272-Reviews-Etc_Steakhouse-Teaneck_New_Jersey.html,Check The Website for a Menu,Teaneck, NJ
838,Etoile Cuisine et Bar,1101 Uptown Park Blvd," French, European, Vegetarian Friendly",4.5,324,"Etoile' has been one of my very favorite restaurants, but Valentine's Day was such a huge disappointment! I was so looking forward to enjoying champage with my husband and made my reservations weeks ahead of time, even securing it with a credit card. We arrived...More",+1 832-668-5808,https://www.tripadvisor.com//Restaurant_Review-g56003-d3670960-Reviews-Etoile_Cuisine_et_Bar-Houston_Texas.html,Check The Website for a Menu,Houston, TX
839,Eureka!,2068 Center Street," American, Bar, Vegetarian Friendly",4.5,154,No comments,+1 510-809-8282,https://www.tripadvisor.com//Restaurant_Review-g32066-d5421501-Reviews-Eureka-Berkeley_California.html,Check The Website for a Menu,Berkeley, CA
840,Europa Bar and Restaurant,625 Westfield Ave," Portuguese, Seafood, European",4.5,33,Great Portuguese restaruant  food was great service was outstanding. We love the sangria.  We have been going here for a very long time not regulars but more like our go to for fine portuguese food without going to Newark tonight!  Paella Marinara is so fresh...More,+1 908-355-2233,https://www.tripadvisor.com//Restaurant_Review-g46414-d2350664-Reviews-Europa_Bar_and_Restaurant-Elizabeth_New_Jersey.html,Check The Website for a Menu,Elizabeth, NJ
841,Europa Italian & Spanish Cuisine,2459 S Union Pl," Italian, Spanish, Vegetarian Friendly",4.5,28,We stayed overnight in Kennewick and discovered this by accident. Great bistro run by father and son. Food was great and restaurant is small enough that it doesn’t get noisy. Wines by the glass were a little on the pricey side but were wonderful. We...More,+1 509-579-5828,https://www.tripadvisor.com//Restaurant_Review-g58536-d14039628-Reviews-Europa_Italian_Spanish_Cuisine-Kennewick_Tri_Cities_Washington.html,http://europaitalianspanish.com/menu/,Kennewick, WA
842,Eva's European Sweets,1305 Milton Ave," Polish, European, Eastern European",4.5,196,"We ate at Eva's at the Syracuse Winter fair . The Polish food was fantastic. We had the Polish sausage  and the stuffed cabbage . The food was simply fantastic and certainly reasonably priced . We also had cherry cheesecake , also fantastic homemade .",+1 315-487-2722,https://www.tripadvisor.com//Restaurant_Review-g48713-d421836-Reviews-Eva_s_European_Sweets-Syracuse_Finger_Lakes_New_York.html,http://www.evaspolish.com/#menu-section,Syracuse, NY
843,Evelyn's Restaurant,45 Easton Ave," International, Mediterranean, Middle Eastern",4.0,54,"I expected much more. We each had a lamb dish. The meat was good but everything else was just ok. The food presentation left much to be desired as did the ambiance. It was very cold inside, big draft from the door and just overall...More",+1 732-246-8792,https://www.tripadvisor.com//Restaurant_Review-g46664-d554473-Reviews-Evelyn_s_Restaurant-New_Brunswick_New_Jersey.html,Check The Website for a Menu,New Brunswick, NJ
844,Executive Surf Club,309 N Water St, American,4.0,233,"Its a good, fun place to eat. Rather plain, but good food. Interesting looking place. They have live music on the weekend.",+1 361-884-7873,https://www.tripadvisor.com//Restaurant_Review-g60927-d2658584-Reviews-Executive_Surf_Club-Corpus_Christi_Texas.html,Check The Website for a Menu,Corpus Christi, TX
845,Fadi's Mediterranean Grill,4738 Beechnut St," Mediterranean, Middle Eastern, Vegan Options",4.5,203,In the area on holidays and visited today for dinner. The food was fantastic and the staff were lovely and very patient in explaining how it worked. Would definitely recommend,+1 713-666-4644,https://www.tripadvisor.com//Restaurant_Review-g56003-d442413-Reviews-Fadi_s_Mediterranean_Grill-Houston_Texas.html,Check The Website for a Menu,Houston, TX
846,Faicco's Pork Store,260 Bleecker St, Italian,4.5,351,We visited Faicco's in New York to get a submarine sandwich (hero) for lunch.  The place was very busy and it is take away only.  The meats and sausages looked amazing in the butchers counter but we were just in for two hero's and a...More,+1 212-243-1974,https://www.tripadvisor.com//Restaurant_Review-g60763-d492626-Reviews-Faicco_s_Pork_Store-New_York_City_New_York.html,Check The Website for a Menu,New York City, NY
847,Fairmount Eats,641 Main St," American, Diner, Vegetarian Friendly",4.0,64,"The food and the staff set this restaurant from all other diners!  The staff is warm, friendly, welcoming and professional.  We started coming here for breakfast several years ago and were very pleased.  The servings are bountiful and they will prepare anything you want.
We...More",+1 201-489-3287,https://www.tripadvisor.com//Restaurant_Review-g46480-d3923756-Reviews-Fairmount_Eats-Hackensack_New_Jersey.html,https://www.fairmount-eats.com/full-menu/,Hackensack, NJ
848,Falafel Hut,213 Bellevue Ave," Middle Eastern, Mediterranean, Vegetarian Friendly",4.5,58,First time visit. I’m still learning how to spell a dish I love—Falafel. Falafel Hut is a small place mostly for take-out of Mediterranean food with 20 cafeteria-style hard chairs. We dined in. A minute walk from Upper Montclair train station. We found street parking...More,+1 973-746-7730,https://www.tripadvisor.com//Restaurant_Review-g46637-d3731670-Reviews-Falafel_Hut-Montclair_New_Jersey.html,http://www.falafelhutnj.com/menu,Montclair, NJ
849,Family House of Pancakes,562 Broadway," American, Vegetarian Friendly, Gluten Free Options",4.5,224,No comments,+1 619-425-5133,https://www.tripadvisor.com//Restaurant_Review-g32210-d514316-Reviews-Family_House_of_Pancakes-Chula_Vista_California.html,Check The Website for a Menu,Chula Vista, CA
850,Family Pancake House,17621 Redmond Way," American, Vegetarian Friendly",3.5,137,"This is a great gem. Good, solid food anytime of day. The Swedish pancakes and crepes were fabulous.  Dinner entrees were also good. I know a lot of folks are not big fans of Liver and Onions but I am and these guys had NY...More",+1 425-883-0922,https://www.tripadvisor.com//Restaurant_Review-g58702-d911688-Reviews-Family_Pancake_House-Redmond_Washington.html,Check The Website for a Menu,Redmond, WA
851,Famous Burger & Teriyaki Sandwich,401 W Lincoln Ave," Asian, Vegetarian Friendly",4.5,53,"I really like this place.   Excellent food.   Especially  the Pho,  the teriyaki, and the giant sized yakisoba.,",+1 509-853-3222,https://www.tripadvisor.com//Restaurant_Review-g58838-d3808202-Reviews-Famous_Burger_Teriyaki_Sandwich-Yakima_Washington.html,Check The Website for a Menu,Yakima, WA
852,Famous Dave's Bar-B-Que,1135 Airway Blvd," American, Barbecue",4.0,173,"We ordered our meals to go and enjoyed the meal at home. Everything was good, ribs, brisket, chicken and the sides. I would order again, either to go or inside the restaurant.",+1 915-843-8400,https://www.tripadvisor.com//Restaurant_Review-g60768-d938886-Reviews-Famous_Dave_s_Bar_B_Que-El_Paso_Texas.html,https://togo.famousdaves.com/menu/famous-daves-airway-blvd,El Paso, TX
853,Farm,6 La Plz," French, Vegetarian Friendly, Vegan Options",4.5,515,No comments,+1 760-322-2724,https://www.tripadvisor.com//Restaurant_Review-g32847-d3800363-Reviews-Farm-Palm_Springs_Greater_Palm_Springs_California.html,Check The Website for a Menu,Palm Springs, CA
854,Farrar's Bistro,12514 NW 36th Ave," Grill, Healthy, American",4.5,140,"ALWAYS good!!! Good service, friendly and attentive. The food is special ....try the chicken pot pie. Served in a skillet. Love Farrar's",+1 360-571-7005,https://www.tripadvisor.com//Restaurant_Review-g60820-d1489820-Reviews-Farrar_s_Bistro-Vancouver_Washington.html,http://www.farrarsbistro.com/#kleanity-mobile-menu,Vancouver, WA
855,Fascino,331 Bloomfield Ave," Italian, Vegetarian Friendly, Vegan Options",4.5,239,"Wonderful 5 course Italian BYO experience. Was a little disappointed with some of the dishes, but others were outsdtanding. The mussels in calabria chili was bland- was expecting some spice, but was lacking in flavor. The kale salad was also very bland. The pasta dishes...More",+1 973-233-0350,https://www.tripadvisor.com//Restaurant_Review-g46637-d795111-Reviews-Fascino-Montclair_New_Jersey.html,Check The Website for a Menu,Montclair, NJ
856,Fat Bob's Smokehouse,41 Virginia Pl," American, Bar, Barbecue",4.0,317,"It breaks my heart to write this review... but it must be done.  

Today, February 14, 2020, I decided to take my wife & daughter to Fat Bob's Smokehouse for a relaxed Valentines dinner.  My wife ordered baked haddock, that wasn't fully cooked, daughter ordered...More",+1 716-887-2971,https://www.tripadvisor.com//Restaurant_Review-g60974-d408641-Reviews-Fat_Bob_s_Smokehouse-Buffalo_New_York.html,Check The Website for a Menu,Buffalo, NY
857,Fat Lady,201 Washington St," American, International, Vegetarian Friendly",4.5,200,No comments,+1 510-465-4996,https://www.tripadvisor.com//Restaurant_Review-g32810-d371547-Reviews-Fat_Lady-Oakland_California.html,Check The Website for a Menu,Oakland, CA
858,Fat Pie Pizza,1015 Harris Ave," Italian, American, Pizza",4.5,219,"Even a boy from Brooklyn NY enjoyed the pizza. Nice soft pizza with good cheese, mushrooms and pepperoni. Also had a bison burger which was cooked the way we like it. 

And the staff was extremely helpful and attentive. We carried out and everything was...More",+1 360-366-8090,https://www.tripadvisor.com//Restaurant_Review-g58350-d5421902-Reviews-Fat_Pie_Pizza-Bellingham_Washington.html,http://www.fatpiepizza.com/menu,Bellingham, WA
859,Fatamorgana Gelato - Ice cream,12021 Ventura Blvd," Dessert, Italian",5.0,13,No comments,+1 818-606-0273,https://www.tripadvisor.com//Restaurant_Review-g32655-d12980016-Reviews-Fatamorgana_Gelato_Ice_cream-Los_Angeles_California.html,Check The Website for a Menu,Los Angeles, CA
860,Fearing's Restaurant,2121 McKinney Ave," American, Southwestern, Asian",4.5,619,"surprisingly very disappointing for supposedly a very highly rated restaurant. table of six reserved for 12.30pm, ordered main course at 12.50pm, waited, waited, and waited till 1.50pm for our dishes to arrive. No apology, just wait staff avoiding our table because they knew the kitchen...More",+1 214-922-4848,https://www.tripadvisor.com//Restaurant_Review-g55711-d824080-Reviews-Fearing_s_Restaurant-Dallas_Texas.html,Check The Website for a Menu,Dallas, TX
861,Feast,1024 S Alamo St," American, Contemporary, Vegetarian Friendly",4.5,432,We went there for dinner - not sure what to expect.  our waiter was wearing a Star Wars t-shirt and backwards cap.  asked for 3 ozs of jack Daniel and he returned with they were out but offered me a selections of scotchs.  final settle...More,+1 210-354-1024,https://www.tripadvisor.com//Restaurant_Review-g60956-d2419452-Reviews-Feast-San_Antonio_Texas.html,Check The Website for a Menu,San Antonio, TX
862,feast buffet,485 Renton Center Way SW," Chinese, Seafood, Sushi",4.0,125,My coworkers and I decided to come here for a work lunch after a recommendation from a friend and we were NOT disappointed! We went for lunch during the week and the food was amazing. The place was not super busy so we were able...More,+1 425-235-1888,https://www.tripadvisor.com//Restaurant_Review-g58704-d8531962-Reviews-Feast_buffet-Renton_Washington.html,Check The Website for a Menu,Renton, WA
863,Federici's Pizzeria,14 E Main St," Italian, Pizza, Vegetarian Friendly",4.0,372,Great pizza. friendly staff. great service. recommend this place for a great and enjoyable meal. A +++++,+1 732-462-1312,https://www.tripadvisor.com//Restaurant_Review-g46453-d794399-Reviews-Federici_s_Pizzeria-Freehold_New_Jersey.html,Check The Website for a Menu,Freehold, NJ
864,Feed Co. Burgers,7990 Leary Way NE, American,4.0,42,"Sooooo good!  They have what has to be the best Oreo Cookie Milkshake in the country...I don't know what's different in the way they make it, but I can't stop ordering them.  You have to try it...you'll be addicted.  The Bison burger is awesome with...More",Not Available,https://www.tripadvisor.com//Restaurant_Review-g58702-d8787572-Reviews-Feed_Co_Burgers-Redmond_Washington.html,Check The Website for a Menu,Redmond, WA
865,Fernandes 2 Steak House,158 Fleming Ave," Steakhouse, Spanish, Portuguese",4.0,259,We had Steak and seafood paella which was fantastic. The service was great and the Sangria is perfect compliment to the meal.,+1 973-589-4344,https://www.tripadvisor.com//Restaurant_Review-g46671-d510779-Reviews-Fernandes_2_Steak_House-Newark_New_Jersey.html,Check The Website for a Menu,Newark, NJ
866,Ferrari's Ristorante,1254 Congress St," Italian, Vegetarian Friendly, Vegan Options",4.5,310,"I frequent the Capital District of NY and Ferrari's is a must stop for eating every time, no matter what else I've go going on while I'm in town. You walk out of here hungry there's something wrong with you. The amount of food is...More",+1 518-382-8865,https://www.tripadvisor.com//Restaurant_Review-g48572-d420258-Reviews-Ferrari_s_Ristorante-Schenectady_New_York.html,Check The Website for a Menu,Schenectady, NY
867,Ferraros,11204 E Sprague Ave," Italian, Vegetarian Friendly",4.0,54,We had a group of 20+ for dinner and the service was great.  Everyone enjoyed their food and we felt it was a good value.  The baked penne was a highlight!,+1 509-928-2303,https://www.tripadvisor.com//Restaurant_Review-g58759-d4022893-Reviews-Ferraros-Spokane_Washington.html,https://www.ferrarosfamilyitalian.com/north-location-menu-1,Spokane, WA
868,Fieldwork Brewing Company,1160 6th St," Bar, Pub, Brew Pub",4.5,57,No comments,Not Available,https://www.tripadvisor.com//Restaurant_Review-g32066-d7894044-Reviews-Fieldwork_Brewing_Company-Berkeley_California.html,Check The Website for a Menu,Berkeley, CA
869,Fiesta,506 N Meridian," Mexican, Latin, Spanish",4.5,23,Little hide a way that i never even knew was here in Puyallup.  I have drove past this placed every day for yearfs and never had the courage to go in.  I finally had the nerves to go inside and it is very rough inside...More,+1 253-445-6525,https://www.tripadvisor.com//Restaurant_Review-g58693-d8436090-Reviews-Fiesta-Puyallup_Washington.html,Check The Website for a Menu,Puyallup, WA
870,Fiesta Mexican Restaurant,8524 W Gage Blvd, Mexican,4.0,45,The service was very pleasant though slow.  The food was good but not exceptional.  The music was too loud.  Not a bad experience but will not return.,+1 509-586-4456,https://www.tripadvisor.com//Restaurant_Review-g58536-d6734291-Reviews-Fiesta_Mexican_Restaurant-Kennewick_Tri_Cities_Washington.html,http://fiestarestaurant.com/menu,Kennewick, WA
871,FIG,101 Wilshire Blvd," American, Vegetarian Friendly, Vegan Options",4.5,502,No comments,+1 310-319-3111,https://www.tripadvisor.com//Restaurant_Review-g33052-d1370914-Reviews-FIG-Santa_Monica_California.html,Check The Website for a Menu,Santa Monica, CA
872,Fig Tree Restaurant,515 Villita St," International, Vegetarian Friendly, Gluten Free Options",4.5,336,"This was our first dinner in San Antonio and it certainly set the bar very high for all others. The setting is unique and romantic. We sat outside at a 2 top and enjoyed the elevated view down to the Riverwalk. Service was professional, but...More",+1 210-224-1976,https://www.tripadvisor.com//Restaurant_Review-g60956-d437243-Reviews-Fig_Tree_Restaurant-San_Antonio_Texas.html,Check The Website for a Menu,San Antonio, TX
873,Filippo's Famous Pizza,336 George St," Italian, Pizza, Vegetarian Friendly",4.0,36,"By all accounts, this is a standard pizza restaurant. It's clean, pleasant and roomy. But what sets it apart is the quality of the pizzas, which are outstanding.",+1 732-846-9060,https://www.tripadvisor.com//Restaurant_Review-g46664-d5053305-Reviews-Filippo_s_Famous_Pizza-New_Brunswick_New_Jersey.html,Check The Website for a Menu,New Brunswick, NJ
